Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
18648,Sponsor,ServerName,2020-10-22T21:00:02.285576Z,distance,37.62,173939220.459175,6100655.84900212,,ipaddr
18648,Sponsor,ServerName,2020-10-22T22:00:03.396574Z,distance,36.855,147535360.251618,5987707.95082333,,ipaddr
4999,Sponsor,ServerName,2020-10-22T23:00:01.879750Z,distance,34.836,225154869.966136,5991571.63556909,,ipaddr
4999,Sponsor,ServerName,2020-10-23T00:00:02.412362Z,distance,43.758,225679215.904119,6043924.02658643,,ipaddr
4999,Sponsor,ServerName,2020-10-23T01:00:02.572457Z,distance,37.922,223857383.550867,5930698.77382137,,ipaddr
4999,Sponsor,ServerName,2020-10-23T02:00:01.996040Z,distance,37.561,224684948.704634,6060894.68592535,,ipaddr
18648,Sponsor,ServerName,2020-10-23T03:00:02.559471Z,distance,37.052,160828390.177655,6073184.98929188,,ipaddr
4999,Sponsor,ServerName,2020-10-23T04:00:03.495716Z,distance,42.046,215122017.441116,6148775.74530738,,ipaddr
4999,Sponsor,ServerName,2020-10-23T05:00:02.075727Z,distance,35.656,229414918.288142,5889988.23375153,,ipaddr
4999,Sponsor,ServerName,2020-10-23T06:00:02.251683Z,distance,46.776,225912157.099824,6111512.63191742,,ipaddr
4999,Sponsor,ServerName,2020-10-23T07:00:03.281251Z,distance,36.67,229826771.914218,6142741.25780174,,ipaddr
3723,Sponsor,ServerName,2020-10-23T08:00:02.058817Z,distance,46.156,222168203.108701,6217392.48815289,,ipaddr
3673,Sponsor,ServerName,2020-10-23T09:00:02.913367Z,distance,39.387,229731089.902241,5961223.19544964,,ipaddr
18648,Sponsor,ServerName,2020-10-23T10:00:02.913241Z,distance,37.042,182346728.425216,6143380.50949471,,ipaddr
18648,Sponsor,ServerName,2020-10-23T11:00:02.279627Z,distance,36.805,139791962.300583,5916511.54460158,,ipaddr
18648,Sponsor,ServerName,2020-10-23T12:00:01.991574Z,distance,36.784,143113285.760164,6031665.95570754,,ipaddr
4999,Sponsor,ServerName,2020-10-23T13:00:02.455302Z,distance,34.225,226718515.18529,5894385.06139175,,ipaddr
4265,Sponsor,ServerName,2020-10-23T14:00:03.030815Z,distance,49.479,149342504.813587,5860019.11672075,,ipaddr
18648,Sponsor,ServerName,2020-10-23T15:00:02.255341Z,distance,40.616,124537954.648002,3930354.62936907,,ipaddr
4999,Sponsor,ServerName,2020-10-23T16:00:03.282092Z,distance,43.517,203075063.111034,5415577.92059558,,ipaddr
4999,Sponsor,ServerName,2020-10-23T17:00:02.641182Z,distance,42.665,210993479.614244,4217412.123116,,ipaddr
4999,Sponsor,ServerName,2020-10-23T18:00:02.803722Z,distance,44.702,133606885.415899,3141909.60409386,,ipaddr
18648,Sponsor,ServerName,2020-10-23T19:00:02.041421Z,distance,41.85,180676581.209426,5478860.10978084,,ipaddr
4999,Sponsor,ServerName,2020-10-23T20:00:03.026757Z,distance,38.836,228825588.331128,5728701.6603767,,ipaddr
18648,Sponsor,ServerName,2020-10-23T21:00:02.672500Z,distance,41.277,147218380.555789,5539767.95530586,,ipaddr
18648,Sponsor,ServerName,2020-10-23T22:00:02.936782Z,distance,38.646,160289327.921369,5946801.92652612,,ipaddr
18648,Sponsor,ServerName,2020-10-23T23:00:02.918075Z,distance,38.296,178410324.697397,6046761.05553684,,ipaddr
18648,Sponsor,ServerName,2020-10-24T00:00:03.908287Z,distance,36.79,167736365.267692,6086402.3971025,,ipaddr
18648,Sponsor,ServerName,2020-10-24T01:00:02.236431Z,distance,39.544,143434569.115247,6207479.05861059,,ipaddr
4999,Sponsor,ServerName,2020-10-24T02:00:03.114223Z,distance,38.086,222323546.70966,5977223.99177973,,ipaddr
18648,Sponsor,ServerName,2020-10-24T03:00:02.834562Z,distance,37.004,141001706.429214,6254595.38789974,,ipaddr
4999,Sponsor,ServerName,2020-10-24T04:00:02.054139Z,distance,43.026,229951456.368013,5959387.28718147,,ipaddr
28132,Sponsor,ServerName,2020-10-24T05:00:03.331328Z,distance,41.344,221042567.246377,5813058.6212082,,ipaddr
18648,Sponsor,ServerName,2020-10-24T06:00:02.156913Z,distance,36.151,160531114.976262,6246597.44339913,,ipaddr
4999,Sponsor,ServerName,2020-10-24T07:00:02.861025Z,distance,41.201,224569546.474765,6081159.90989032,,ipaddr
18648,Sponsor,ServerName,2020-10-24T08:00:02.987978Z,distance,37.213,178370618.95363,5980236.11137873,,ipaddr
18648,Sponsor,ServerName,2020-10-24T09:00:02.738425Z,distance,38.947,171405821.105347,5824036.20411394,,ipaddr
4999,Sponsor,ServerName,2020-10-24T10:00:02.678577Z,distance,38.024,226433272.325561,6235515.68682179,,ipaddr
18648,Sponsor,ServerName,2020-10-24T11:00:02.221493Z,distance,36.65,151005987.689832,5996868.42377716,,ipaddr
4999,Sponsor,ServerName,2020-10-24T12:00:02.987674Z,distance,35.951,230013978.161552,5918633.92502811,,ipaddr
18648,Sponsor,ServerName,2020-10-24T13:00:02.755379Z,distance,37.147,143207446.558985,5985144.49474729,,ipaddr
4999,Sponsor,ServerName,2020-10-24T14:00:03.301708Z,distance,41.8,224732137.566826,6022483.69358096,,ipaddr
4999,Sponsor,ServerName,2020-10-24T15:00:02.185293Z,distance,41.702,226743044.363389,6260176.04347867,,ipaddr
4999,Sponsor,ServerName,2020-10-24T16:00:02.481012Z,distance,37.034,229696456.702082,6030246.37461237,,ipaddr
4999,Sponsor,ServerName,2020-10-24T17:00:02.576802Z,distance,37.435,231736570.886139,5970101.7617286,,ipaddr
18648,Sponsor,ServerName,2020-10-24T18:00:02.522193Z,distance,37.43,196602241.286118,5959538.20297903,,ipaddr
18648,Sponsor,ServerName,2020-10-24T19:00:02.249432Z,distance,37.944,170655141.220613,5958830.48667882,,ipaddr
