Server ID, Timestamp, Ping, Download, Upload
3723, '2020-10-23T08:00:02.058817Z', 46.156, 222.16820310870105, 6.217392488152891
3673, '2020-10-23T09:00:02.913367Z', 39.387, 229.73108990224094, 5.9612231954496435
18648, '2020-10-23T10:00:02.913241Z', 37.042, 182.34672842521547, 6.143380509494705
18648, '2020-10-23T11:00:02.279627Z', 36.805, 139.79196230058292, 5.916511544601584
18648, '2020-10-23T12:00:01.991574Z', 36.784, 143.11328576016444, 6.031665955707537
4999, '2020-10-23T13:00:02.455302Z', 34.225, 226.7185151852905, 5.8943850613917474
4265, '2020-10-23T14:00:03.030815Z', 49.479, 149.34250481358714, 5.860019116720754
18648, '2020-10-23T15:00:02.255341Z', 40.616, 124.53795464800238, 3.9303546293690688
4999, '2020-10-23T16:00:03.282092Z', 43.517, 203.07506311103404, 5.41557792059558
4999, '2020-10-23T17:00:02.641182Z', 42.665, 210.99347961424397, 4.217412123115999
4999, '2020-10-23T18:00:02.803722Z', 44.702, 133.60688541589906, 3.1419096040938586
18648, '2020-10-23T19:00:02.041421Z', 41.85, 180.67658120942596, 5.478860109780837
4999, '2020-10-23T20:00:03.026757Z', 38.836, 228.82558833112756, 5.7287016603766965
18648, '2020-10-23T21:00:02.672500Z', 41.277, 147.21838055578948, 5.539767955305864
18648, '2020-10-23T22:00:02.936782Z', 38.646, 160.2893279213694, 5.946801926526117
18648, '2020-10-23T23:00:02.918075Z', 38.296, 178.41032469739676, 6.046761055536841
18648, '2020-10-24T00:00:03.908287Z', 36.79, 167.73636526769215, 6.086402397102496
18648, '2020-10-24T01:00:02.236431Z', 39.544, 143.43456911524657, 6.207479058610586
4999, '2020-10-24T02:00:03.114223Z', 38.086, 222.32354670966026, 5.97722399177973
18648, '2020-10-24T03:00:02.834562Z', 37.004, 141.00170642921435, 6.254595387899739
4999, '2020-10-24T04:00:02.054139Z', 43.026, 229.95145636801283, 5.959387287181466
28132, '2020-10-24T05:00:03.331328Z', 41.344, 221.04256724637705, 5.8130586212082
18648, '2020-10-24T06:00:02.156913Z', 36.151, 160.53111497626222, 6.246597443399132
4999, '2020-10-24T07:00:02.861025Z', 41.201, 224.56954647476476, 6.081159909890324
18648, '2020-10-24T08:00:02.987978Z', 37.213, 178.3706189536298, 5.9802361113787255
18648, '2020-10-24T09:00:02.738425Z', 38.947, 171.4058211053465, 5.824036204113942
4999, '2020-10-24T10:00:02.678577Z', 38.024, 226.43327232556143, 6.235515686821789
18648, '2020-10-24T11:00:02.221493Z', 36.65, 151.00598768983224, 5.996868423777163
